"id","latitude","longitude","name","docks"
2,"51.499607","-0.197574","Phillimore Gardens, Kensington",37
20,"51.527326","-0.136053","Drummond Street , Euston",26
200,"51.514925","-0.066078","LMU Commercial Road, Whitechapel",14
201,"51.522597","-0.161113","Dorset Square, Marylebone",16
202,"51.512364","-0.069542","Leman Street, Aldgate",36
203,"51.518219","-0.100791","West Smithfield Rotunda, Farringdon",15
204,"51.5266","-0.112433","Margery Street, Clerkenwell",18
206,"51.518154","-0.062697","New Road 1 , Whitechapel",36
207,"51.501353","-0.153195","Grosvenor Crescent, Belgravia",18
208,"51.525052","-0.166304","Mallory Street, Marylebone",20
209,"51.493584","-0.165101","Denyer Street, Knightsbridge",30
21,"51.530078","-0.138846","Hampstead Road (Cartmel), Euston",15
210,"51.516814","-0.151926","Hinde Street, Marylebone",21
211,"51.494645","-0.158106","Cadogan Place, Knightsbridge",34
212,"51.506585","-0.199004","Campden Hill Road, Notting Hill",17
213,"51.50274","-0.149569","Wellington Arch, Hyde Park",36
214,"51.526838","-0.130504","Endsleigh Gardens, Euston",32
215,"51.519069","-0.088285","Moorfields, Moorgate",53
216,"51.490946","-0.181191","Old Brompton Road, South Kensington",30
217,"51.516155","-0.082422","Wormwood Street, Liverpool Street",12
218,"51.489717","-0.170194","St. Luke's Church, Chelsea",20
219,"51.490164","-0.190394","Bramham Gardens, Earl's Court",29
22,"51.522264","-0.114079","Northington Street , Holborn",19
220,"51.490665","-0.166485","Chelsea Green, Chelsea",27
221,"51.494816","-0.130459","Horseferry Road, Westminster",13
222,"51.502757","-0.15535","Knightsbridge, Hyde Park",42
223,"51.491485","-0.090221","Rodney Road , Walworth",22
224,"51.51031","-0.187402","Queensway, Kensington Gardens",17
225,"51.509353","-0.196422","Notting Hill Gate Station, Notting Hill",30
226,"51.508446","-0.131961","Charles II Street, West End",24
227,"51.528916","-0.115481","Great Percy Street, Clerkenwell",23
228,"51.507425","-0.134621","St. James's Square, St. James's",39
229,"51.506543","-0.12318","Whitehall Place, Strand",23
23,"51.519435","-0.119123","Red Lion Square, Holborn",16
230,"51.506693","-0.103137","Poured Lines, Bankside",30
231,"51.493968","-0.178732","Queen's Gate (Central), South Kensington",31
232,"51.51501","-0.112753","Carey Street, Holborn",16
233,"51.50777","-0.1307","Pall Mall East, West End",22
234,"51.534504","-0.106993","Liverpool Road (N1 Centre), Angel",24
235,"51.495718","-0.110889","Kennington Road , Vauxhall",36
236,"51.51838","-0.073439","Fashion Street, Whitechapel",30
237,"51.509786","-0.068162","Dock Street, Wapping",26
238,"51.523353","-0.175116","Frampton Street, Paddington",32
239,"51.524438","-0.138019","Warren Street Station, Euston",26
24,"51.51908","-0.124678","British Museum, Bloomsbury",34
240,"51.505459","-0.105692","Colombo Street, Southwark",14
242,"51.522008","-0.151359","Beaumont Street, Marylebone",23
243,"51.490963","-0.139625","Gloucester Street, Pimlico",25
244,"51.516119","-0.128585","Earnshaw Street , Covent Garden",17
245,"51.485357","-0.142207","Grosvenor Road, Pimlico",29
246,"51.522853","-0.099994","Berry Street, Clerkenwell",41
247,"51.530529","-0.167515","St. John's Wood Church, The Regent's Park",50
248,"51.506452","-0.17028","Triangle Car Park, Hyde Park",27
249,"51.498598","-0.096191","Harper Road, The Borough",42
25,"51.528834","-0.13225","Doric Way , Somers Town",48
250,"51.489932","-0.162727","Royal Avenue 1, Chelsea",10
251,"51.518908","-0.079249","Brushfield Street, Liverpool Street",33
252,"51.504636","-0.116542","Jubilee Gardens, South Bank",30
253,"51.534043","-0.08638","Shoreditch Park, Hoxton",29
254,"51.530516","-0.106408","Chadwell Street, Angel",18
255,"51.525575","-0.179593","Clifton Road, Maida Vale",22
256,"51.513621","-0.116764","Houghton Street, Strand",15
257,"51.522482","-0.154907","Westminster University, Marylebone",16
259,"51.490959","-0.153233","Bourne Street, Belgravia",13
26,"51.527281","-0.118295","Ampton Street , Clerkenwell",21
260,"51.513685","-0.135581","Broadwick Street, Soho",18
261,"51.513489","-0.191351","Princes Square, Bayswater",15
262,"51.498745","-0.103133","LSBU (Borough Road), Elephant & Castle",34
263,"51.514225","-0.08066","St. Mary Axe, Aldgate",21
264,"51.526443","-0.109257","Tysoe Street, Clerkenwell",20
265,"51.515953","-0.169249","Southwick Street, Paddington",17
266,"51.501027","-0.180246","Queen's Gate (North), Kensington",40
267,"51.49206","-0.132225","Regency Street, Westminster",22
268,"51.493204","-0.144133","Belgrave Road, Victoria",28
269,"51.500823","-0.089741","Empire Square, The Borough",46
27,"51.513821","-0.107928","Bouverie Street, Temple",33
270,"51.486343","-0.122492","Kennington Lane Rail Bridge, Vauxhall",30
271,"51.535836","-0.156285","London Zoo, The Regent's Park",32
272,"51.501445","-0.110699","Baylis Road, Waterloo",22
273,"51.506133","-0.114686","Belvedere Road 1, South Bank",38
274,"51.496712","-0.205284","Warwick Road, Olympia",36
275,"51.520045","-0.092176","Barbican Centre, Barbican",18
276,"51.509302","-0.084985","Lower Thames Street, Monument",24
277,"51.503157","-0.191496","Kensington Church Street, Kensington",17
278,"51.503494","-0.079621","Tooley Street, Bermondsey",27
279,"51.518622","-0.176646","North Wharf Road, Paddington",25
28,"51.523518","-0.143614","Bolsover Street, Fitzrovia",17
280,"51.490083","-0.162418","Royal Avenue 2, Chelsea",10
281,"51.495806","-0.127575","Smith Square, Westminster",17
282,"51.519064","-0.059642","Royal London Hospital, Whitechapel",41
283,"51.514409","-0.118479","Kingsway, Covent Garden",16
284,"51.499141","-0.112031","Lambeth North Station, Waterloo",20
286,"51.527295","-0.174654","St. John's Wood Road, St. John's Wood",35
287,"51.523673","-0.128378","Bedford Way, Bloomsbury",23
288,"51.49237","-0.147479","Elizabeth Bridge, Victoria",34
289,"51.50923","-0.151296","South Audley Street, Mayfair",14
29,"51.513735","-0.193487","Hereford Road, Bayswater",22
290,"51.518268","-0.171103","St Mary's Hospital, Paddington",20
291,"51.48484","-0.138089","Claverton Street, Pimlico",32
292,"51.498884","-0.165472","Montpelier Street, Knightsbridge",16
293,"51.498158","-0.209494","Kensington Olympia Station, Olympia",25
294,"51.488226","-0.135636","St. George's Square, Pimlico",16
295,"51.500296","-0.092763","Swan Street, The Borough",27
296,"51.493632","-0.190603","Knaresborough Place, Earl's Court",18
297,"51.496128","-0.106001","Geraldine Street, Elephant & Castle",17
298,"51.50228","-0.074189","Curlew Street, Shad Thames",19
299,"51.493985","-0.136929","Vincent Square, Westminster",18
3,"51.521284","-0.084606","Christopher Street, Liverpool Street",31
30,"51.529154","-0.093422","Windsor Terrace, Hoxton",24
300,"51.505014","-0.17306","Serpentine Car Park, Hyde Park",18
301,"51.51476","-0.148105","Marylebone Lane, Marylebone",22
302,"51.466907","-0.216573","Putney Pier, Wandsworth",28
303,"51.502954","-0.158456","Albert Gate, Hyde Park",34
306,"51.518163","-0.135026","Rathbone Street, Fitzrovia",16
307,"51.509908","-0.187843","Black Lion Gate, Kensington Gardens",24
308,"51.499076","-0.085666","Long Lane , Bermondsey",20
309,"51.509631","-0.119048","Embankment (Savoy), Strand",41
31,"51.529537","-0.083353","Fanshaw Street, Hoxton",34
310,"51.490868","-0.116912","Black Prince Road, Vauxhall",19
311,"51.519181","-0.140486","Foley Street, Fitzrovia",24
312,"51.530889","-0.176771","Grove End Road, St. John's Wood",20
313,"51.517344","-0.138073","Wells Street, Fitzrovia",37
314,"51.500889","-0.083159","Tyers Gate, Bermondsey",35
315,"51.525367","-0.153464","The Tennis Courts, The Regent's Park",16
316,"51.497998","-0.142961","Warwick Row, Westminster",21
317,"51.496791","-0.093913","Dickens Square, Borough",31
318,"51.510048","-0.138846","Sackville Street, Mayfair",18
319,"51.527026","-0.088543","Baldwin Street, St. Luke's",20
32,"51.524696","-0.084439","Leonard Circus , Shoreditch",43
320,"51.493574","-0.139956","Queen Mother Sports Centre, Victoria",26
321,"51.497856","-0.081608","Bermondsey Street, Bermondsey",24
322,"51.526293","-0.073955","Palissy Street, Shoreditch",26
323,"51.523196","-0.083067","Clifton Street, Shoreditch",23
324,"51.49652","-0.101384","Ontario Street, Elephant & Castle",14
325,"51.509087","-0.129698","St. Martin's Street, West End",18
