rental_id,bike_id,startstationid,endstationid,start_date,end_date
90762361,13002,129,725,2019-09-01 00:08:00+00,2019-09-01 00:25:00+00
90762362,15769,668,668,2019-09-01 00:08:00+00,2019-09-01 00:30:00+00
90762363,8263,697,697,2019-09-01 00:08:00+00,2019-09-01 00:20:00+00
90762364,10107,671,573,2019-09-01 00:09:00+00,2019-09-01 00:26:00+00
90762365,16409,309,195,2019-09-01 00:09:00+00,2019-09-01 00:29:00+00
90762366,920,729,158,2019-09-01 00:09:00+00,2019-09-01 00:20:00+00
90762367,8954,697,697,2019-09-01 00:09:00+00,2019-09-01 00:20:00+00
90762368,1763,309,195,2019-09-01 00:09:00+00,2019-09-01 00:29:00+00
90762369,12489,309,195,2019-09-01 00:09:00+00,2019-09-01 00:29:00+00
90762370,8398,388,73,2019-09-01 00:09:00+00,2019-09-01 00:35:00+00
90762371,10146,308,646,2019-09-01 00:09:00+00,2019-09-01 00:31:00+00
90762372,1527,419,428,2019-09-01 00:09:00+00,2019-09-01 00:31:00+00
90762373,8137,83,44,2019-09-01 00:09:00+00,2019-09-01 00:16:00+00
90762374,8975,419,428,2019-09-01 00:09:00+00,2019-09-01 00:31:00+00
90762375,12575,682,707,2019-09-01 00:09:00+00,2019-09-01 00:13:00+00
90762376,14154,309,195,2019-09-01 00:09:00+00,2019-09-01 00:29:00+00
90762377,14960,553,552,2019-09-01 00:09:00+00,2019-09-01 00:23:00+00
90762378,15122,399,39,2019-09-01 00:10:00+00,2019-09-01 00:14:00+00
90762379,16613,553,200,2019-09-01 00:10:00+00,2019-09-01 00:19:00+00
90762380,14370,785,785,2019-09-01 00:10:00+00,2019-09-01 00:42:00+00
90762381,6985,219,621,2019-09-01 00:10:00+00,2019-09-01 00:30:00+00
90762382,14319,303,296,2019-09-01 00:10:00+00,2019-09-01 00:23:00+00
90762383,9229,785,785,2019-09-01 00:10:00+00,2019-09-01 00:42:00+00
90762384,8491,535,286,2019-09-01 00:10:00+00,2019-09-01 00:24:00+00
90762385,10801,466,485,2019-09-01 00:10:00+00,2019-09-01 00:23:00+00
90762386,7028,508,14,2019-09-01 00:10:00+00,2019-09-01 00:26:00+00
90762387,3956,532,551,2019-09-01 00:10:00+00,2019-09-01 00:27:00+00
90762388,11522,717,495,2019-09-01 00:10:00+00,2019-09-01 00:29:00+00
90762389,15749,219,621,2019-09-01 00:10:00+00,2019-09-01 00:30:00+00
90762390,2347,775,524,2019-09-01 00:11:00+00,2019-09-01 00:36:00+00
90762391,581,633,639,2019-09-01 00:11:00+00,2019-09-01 00:18:00+00
90762392,12420,40,488,2019-09-01 00:11:00+00,2019-09-01 00:24:00+00
90762393,14553,264,230,2019-09-01 00:11:00+00,2019-09-01 00:21:00+00
90762394,8757,341,192,2019-09-01 00:11:00+00,2019-09-01 00:25:00+00
90762395,5094,306,368,2019-09-01 00:11:00+00,2019-09-01 00:37:00+00
90762396,16686,802,802,2019-09-01 00:11:00+00,2019-09-01 00:33:00+00
90762397,4017,341,192,2019-09-01 00:11:00+00,2019-09-01 00:26:00+00
90762398,2691,461,449,2019-09-01 00:12:00+00,2019-09-01 00:19:00+00
90762399,6348,802,802,2019-09-01 00:12:00+00,2019-09-01 00:32:00+00
90762400,2120,785,783,2019-09-01 00:12:00+00,2019-09-01 00:17:00+00
90762401,14761,216,609,2019-09-01 00:12:00+00,2019-09-01 00:31:00+00
90762402,9941,662,529,2019-09-01 00:12:00+00,2019-09-01 00:39:00+00
90762403,5065,113,769,2019-09-01 00:12:00+00,2019-09-01 00:26:00+00
90762404,1503,480,717,2019-09-01 00:12:00+00,2019-09-01 00:28:00+00
90762405,13946,612,259,2019-09-01 00:13:00+00,2019-09-01 00:28:00+00
90762406,9996,114,329,2019-09-01 00:13:00+00,2019-09-01 00:26:00+00
90762408,8419,114,329,2019-09-01 00:13:00+00,2019-09-01 00:26:00+00
90762409,14949,480,461,2019-09-01 00:13:00+00,2019-09-01 00:15:00+00
90762410,1760,510,460,2019-09-01 00:13:00+00,2019-09-01 00:17:00+00
90762411,8795,692,499,2019-09-01 00:13:00+00,2019-09-01 00:23:00+00
90762412,7704,386,144,2019-09-01 00:13:00+00,2019-09-01 00:58:00+00
90762413,7219,386,144,2019-09-01 00:13:00+00,2019-09-01 00:58:00+00
90762414,12779,225,807,2019-09-01 00:13:00+00,2019-09-01 00:24:00+00
90762415,6541,100,22,2019-09-01 00:14:00+00,2019-09-01 00:33:00+00
90762416,14833,130,762,2019-09-01 00:14:00+00,2019-09-01 00:42:00+00
90762417,7620,130,762,2019-09-01 00:14:00+00,2019-09-01 00:41:00+00
90762419,11074,22,42,2019-09-01 00:14:00+00,2019-09-01 00:25:00+00
90762421,482,367,61,2019-09-01 00:15:00+00,2019-09-01 00:38:00+00
90762422,8036,318,397,2019-09-01 00:15:00+00,2019-09-01 00:34:00+00
90762423,4970,318,397,2019-09-01 00:16:00+00,2019-09-01 00:34:00+00
90762424,6243,318,397,2019-09-01 00:16:00+00,2019-09-01 00:35:00+00
90762425,16010,110,329,2019-09-01 00:16:00+00,2019-09-01 00:57:00+00
90762426,16006,618,158,2019-09-01 00:16:00+00,2019-09-01 00:26:00+00
90762427,179,562,374,2019-09-01 00:16:00+00,2019-09-01 01:42:00+00
90762429,12741,698,204,2019-09-01 00:16:00+00,2019-09-01 00:40:00+00
90762430,123,772,624,2019-09-01 00:16:00+00,2019-09-01 00:20:00+00
90762431,11412,103,807,2019-09-01 00:16:00+00,2019-09-01 00:26:00+00
90762432,14901,698,204,2019-09-01 00:16:00+00,2019-09-01 00:40:00+00
90762433,6396,225,758,2019-09-01 00:16:00+00,2019-09-01 00:24:00+00
90762434,8565,503,717,2019-09-01 00:16:00+00,2019-09-01 00:30:00+00
90762435,13061,225,758,2019-09-01 00:16:00+00,2019-09-01 00:24:00+00
90762436,14562,110,329,2019-09-01 00:16:00+00,2019-09-01 00:58:00+00
90762437,6718,483,510,2019-09-01 00:16:00+00,2019-09-01 00:26:00+00
90762438,12599,737,600,2019-09-01 00:16:00+00,2019-09-01 00:43:00+00
90762439,16803,320,802,2019-09-01 00:16:00+00,2019-09-01 00:32:00+00
90762440,12967,640,690,2019-09-01 00:16:00+00,2019-09-01 00:25:00+00
90762441,15838,251,508,2019-09-01 00:16:00+00,2019-09-01 00:18:00+00
90762442,13724,338,420,2019-09-01 00:16:00+00,2019-09-01 00:24:00+00
90762443,9828,619,573,2019-09-01 00:16:00+00,2019-09-01 00:36:00+00
90762444,16674,20,20,2019-09-01 00:17:00+00,2019-09-01 00:55:00+00
90762445,12170,20,20,2019-09-01 00:17:00+00,2019-09-01 00:55:00+00
90762446,14546,513,501,2019-09-01 00:17:00+00,2019-09-01 00:21:00+00
90762447,7419,249,156,2019-09-01 00:17:00+00,2019-09-01 00:20:00+00
90762448,4429,562,341,2019-09-01 00:17:00+00,2019-09-01 01:56:00+00
90762450,15309,562,341,2019-09-01 00:17:00+00,2019-09-01 01:56:00+00
90762451,14394,562,374,2019-09-01 00:17:00+00,2019-09-01 01:41:00+00
90762452,5443,130,452,2019-09-01 00:17:00+00,2019-09-01 00:24:00+00
90762453,1553,143,124,2019-09-01 00:18:00+00,2019-09-01 00:21:00+00
90762454,14353,93,4,2019-09-01 00:18:00+00,2019-09-01 00:23:00+00
90762455,9658,57,478,2019-09-01 00:18:00+00,2019-09-01 00:40:00+00
90762456,4603,776,637,2019-09-01 00:18:00+00,2019-09-01 00:48:00+00
90762457,2317,74,178,2019-09-01 00:18:00+00,2019-09-01 00:27:00+00
90762458,12805,192,24,2019-09-01 00:18:00+00,2019-09-01 00:30:00+00
90762459,10536,192,24,2019-09-01 00:18:00+00,2019-09-01 00:30:00+00
90762460,15523,562,238,2019-09-01 00:18:00+00,2019-09-01 00:37:00+00
90762461,10291,801,383,2019-09-01 00:18:00+00,2019-09-01 00:34:00+00
90762462,3527,655,691,2019-09-01 00:18:00+00,2019-09-01 00:24:00+00
90762463,5197,515,515,2019-09-01 00:18:00+00,2019-09-01 00:19:00+00
90762464,12698,573,805,2019-09-01 00:19:00+00,2019-09-01 00:45:00+00
